	SRR3108963	SRR3108968	SRR3108969	SRR3108988	SRR3108989	SRR3108991	SRR3108994	SRR3108998	SRR8365816	SRR8365817	SRR8365826	SRR8365827	SRR8365828	SRR8365829	SRR8365832	SRR8365833	SRR8365834	SRR8365849	SRR8365850	SRR8365851	SRR8365852	SRR8365853	SRR8365854	SRR8365855	SRR8365856	SRR8365867	SRR8365868	SRR9660293	SRR9660294	SRR9660295	SRR9660296	SRR9660297	SRR9660298	SRR9660299	SRR9660300	SRR14654853	SRR14654855	SRR14654856	SRR14654857	SRR14654858	SRR14654859	SRR14654865	SRR14654870	SRR14654871	SRR14654872	SRR14654874	SRR14654875	SRR14654876
SRR8365853	0.9762532981530343	0.9934036939313984	0.9604221635883905	0.9736147757255936	0.9920844327176781	0.9907651715039578	0.9709762532981531	0.9722955145118733	0.787598944591029	0.758575197889182	0.7467018469656992	0.7321899736147758	0.5197889182058048	0.8707124010554089	0.8324538258575198	0.8271767810026385	0.8443271767810027	0.4155672823218997	0.6939313984168866	0.7796833773087071	0.8707124010554089	0.0	0.7467018469656992	0.6411609498680739	0.8298153034300791	0.8311345646437994	0.7361477572559367	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365854	0.9564643799472295	0.9907651715039578	0.9604221635883905	0.924802110817942	0.9709762532981531	0.9617414248021108	0.9683377308707124	0.974934036939314	0.7730870712401056	0.8522427440633246	0.8034300791556728	0.7401055408970977	0.7532981530343008	0.8865435356200527	0.8271767810026385	0.8482849604221636	0.8192612137203166	0.7651715039577837	0.6807387862796834	0.6398416886543535	0.8891820580474934	0.7467018469656992	0.0	0.7216358839050132	0.837730870712401	0.45382585751978893	0.8271767810026385	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365855	0.9511873350923483	0.9920844327176781	0.9538258575197889	0.9841688654353562	0.9947229551451188	0.996042216358839	0.9670184696569921	0.9841688654353562	0.637203166226913	0.758575197889182	0.6952506596306068	0.5699208443271768	0.4445910290237467	0.6886543535620053	0.7823218997361477	0.8139841688654353	0.7664907651715039	0.6569920844327177	0.7401055408970977	0.7717678100263852	0.8456464379947229	0.6411609498680739	0.7216358839050132	0.0	0.7889182058047494	0.8284960422163589	0.716358839050132	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365856	0.9511873350923483	0.9868073878627969	0.9696569920844327	0.9604221635883905	0.9881266490765171	0.9868073878627969	0.9630606860158312	0.9736147757255936	0.8364116094986808	0.9485488126649076	0.9287598944591029	0.837730870712401	0.8073878627968337	0.7928759894459103	0.9313984168865436	0.9379947229551451	0.8970976253298153	0.7849604221635884	0.8891820580474934	0.8773087071240105	0.9102902374670184	0.8298153034300791	0.837730870712401	0.7889182058047494	0.0	0.9129287598944591	0.8984168865435356	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365867	0.9525065963060686	0.9947229551451188	0.9155672823218998	0.8693931398416886	0.8496042216358839	0.9195250659630607	0.8799472295514512	0.9564643799472295	0.8390501319261213	0.7453825857519789	0.8007915567282322	0.8350923482849604	0.8271767810026385	0.9670184696569921	0.8311345646437994	0.716358839050132	0.787598944591029	0.8073878627968337	0.5897097625329816	0.5131926121372031	0.7348284960422163	0.8311345646437994	0.45382585751978893	0.8284960422163589	0.9129287598944591	0.0	0.6912928759894459	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365868	0.9538258575197889	0.9947229551451188	0.8891820580474934	0.9577836411609498	0.9142480211081794	0.9854881266490765	0.8192612137203166	0.9340369393139841	0.7770448548812665	0.600263852242744	0.679419525065963	0.7730870712401056	0.7044854881266491	0.9142480211081794	0.7968337730870713	0.5356200527704486	0.7691292875989446	0.7137203166226913	0.5883905013192612	0.6108179419525066	0.5738786279683378	0.7361477572559367	0.8271767810026385	0.716358839050132	0.8984168865435356	0.6912928759894459	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660293	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9485488126649076	0.9102902374670184	0.7440633245382586	0.9261213720316622	0.9076517150395779	0.6266490765171504	0.8245382585751979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660294	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9485488126649076	0.0	0.7559366754617414	0.9577836411609498	0.8905013192612137	0.8153034300791556	0.9445910290237467	0.8918205804749341	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660295	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9102902374670184	0.7559366754617414	0.0	0.9327176781002638	0.7651715039577837	0.7915567282321899	0.9050131926121372	0.820580474934037	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660296	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7440633245382586	0.9577836411609498	0.9327176781002638	0.0	0.9736147757255936	0.9340369393139841	0.6385224274406333	0.924802110817942	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9261213720316622	0.8905013192612137	0.7651715039577837	0.9736147757255936	0.0	0.8931398416886543	0.9300791556728232	0.8496042216358839	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660298	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9076517150395779	0.8153034300791556	0.7915567282321899	0.9340369393139841	0.8931398416886543	0.0	0.9195250659630607	0.8139841688654353	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660299	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6266490765171504	0.9445910290237467	0.9050131926121372	0.6385224274406333	0.9300791556728232	0.9195250659630607	0.0	0.8337730870712401	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9660300	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8245382585751979	0.8918205804749341	0.820580474934037	0.924802110817942	0.8496042216358839	0.8139841688654353	0.8337730870712401	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR14654853	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.8825857519788918	0.9775725593667546	0.9709762532981531	0.978891820580475	0.9775725593667546	0.9406332453825857	0.9340369393139841	0.9538258575197889	0.820580474934037	0.8192612137203166	0.9076517150395779	0.9511873350923483
SRR14654855	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8825857519788918	0.0	0.7348284960422163	0.8271767810026385	0.8891820580474934	0.9894459102902374	0.9498680738786279	0.9538258575197889	0.9379947229551451	0.8192612137203166	0.920844327176781	0.9287598944591029	0.8021108179419525
SRR14654856	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9775725593667546	0.7348284960422163	0.0	0.8021108179419525	0.8825857519788918	1.0	0.9815303430079155	0.9775725593667546	0.9894459102902374	0.9129287598944591	0.9577836411609498	0.9564643799472295	0.7757255936675461
SRR14654857	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9709762532981531	0.8271767810026385	0.8021108179419525	0.0	0.8812664907651715	0.9775725593667546	0.9643799472295514	0.9868073878627969	0.9775725593667546	0.9379947229551451	0.974934036939314	0.9656992084432717	0.8773087071240105
SRR14654858	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.978891820580475	0.8891820580474934	0.8825857519788918	0.8812664907651715	0.0	1.0	1.0	1.0	0.978891820580475	0.9102902374670184	0.9525065963060686	0.9617414248021108	0.9195250659630607
SRR14654859	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9775725593667546	0.9894459102902374	1.0	0.9775725593667546	1.0	0.0	0.8509234828496042	0.9907651715039578	0.8641160949868074	0.9802110817941952	0.9947229551451188	0.9815303430079155	0.9736147757255936
